 #energy tdos sumdos updos dndos awdos
       -20.6902         5.7859         4.6454         3.6041        -2.1817         5.7859
       -20.6841         6.7920         4.6780         4.2331        -2.5589         6.7920
       -20.6780         7.9275         4.7163         4.9434        -2.9841         7.9275
       -20.6719         9.2002         4.7612         5.7400        -3.4602         9.2002
       -20.6658        10.6163         4.8134         6.6270        -3.9893        10.6163
       -20.6597        12.1805         4.8739         7.6073        -4.5732        12.1805
       -20.6536        13.8954         4.9434         8.6828        -5.2126        13.8954
       -20.6475        15.7615         5.0229         9.8538        -5.9076        15.7615
       -20.6414        17.7761         5.1133        11.1190        -6.6572        17.7761
       -20.6353        19.9340         5.2156        12.4749        -7.4591        19.9340
       -20.6292        22.2264         5.3306        13.9164        -8.3100        22.2264
       -20.6231        24.6410         5.4592        15.4358        -9.2052        24.6410
       -20.6170        27.1623         5.6021        17.0235       -10.1388        27.1623
       -20.6109        29.7707         5.7601        18.6673       -11.1034        29.7707
       -20.6048        32.4437         5.9337        20.3531       -12.0906        32.4437
       -20.5987        35.1550         6.1234        22.0645       -13.0905        35.1550
       -20.5926        37.8757         6.3295        23.7833       -14.0924        37.8757
       -20.5865        40.5743         6.5522        25.4897       -15.0846        40.5743
       -20.5804        43.2173         6.7915        27.1626       -16.0547        43.2173
       -20.5743        45.7701         7.0470        28.7802       -16.9898        45.7701
       -20.5682        48.1972         7.3184        30.3201       -17.8770        48.1972
       -20.5621        50.4636         7.6049        31.7602       -18.7034        50.4636
       -20.5560        52.5354         7.9058        33.0788       -19.4566        52.5354
       -20.5499        54.3804         8.2199        34.2556       -20.1248        54.3804
       -20.5438        55.9692         8.5459        35.2718       -20.6974        55.9692
       -20.5377        57.2760         8.8824        36.1109       -21.1650        57.2760
       -20.5316        58.2790         9.2278        36.7590       -21.5200        58.2790
       -20.5255        58.9615         9.5801        37.2052       -21.7563        58.9615
       -20.5194        59.3119         9.9377        37.4420       -21.8699        59.3119
       -20.5133        59.3241        10.2983        37.4652       -21.8589        59.3241
       -20.5072        58.9979        10.6601        37.2745       -21.7234        58.9979
       -20.5011        58.3389        11.0209        36.8731       -21.4658        58.3389
       -20.4950        57.3584        11.3787        36.2679       -21.0905        57.3584
       -20.4889        56.0727        11.7316        35.4690       -20.6037        56.0727
       -20.4828        54.5032        12.0775        34.4897       -20.0135        54.5032
       -20.4767        52.6755        12.4147        33.3461       -19.3294        52.6755
       -20.4706        50.6188        12.7415        32.0564       -18.5624        50.6188
       -20.4645        48.3649        13.0565        30.6406       -17.7243        48.3649
       -20.4584        45.9478        13.3584        29.1202       -16.8276        45.9478
       -20.4523        43.4026        13.6460        27.5173       -15.8853        43.4026
       -20.4462        40.7645        13.9184        25.8542       -14.9103        40.7645
       -20.4402        38.0683        14.1751        24.1529       -13.9154        38.0683
       -20.4341        35.3477        14.4155        22.4347       -12.9129        35.3477
       -20.4280        32.6342        14.6394        20.7199       -11.9144        32.6342
       -20.4219        29.9572        14.8467        19.0268       -10.9304        29.9572
       -20.4158        27.3429        15.0376        17.3723        -9.9706        27.3429
       -20.4097        24.8144        15.2123        15.7712        -9.0432        24.8144
