 #  energy  xx  yy  zz  xy  xz  yz
         2.2105         1.0190         0.3676         0.0010         0.1248         0.0156        -0.0142
         2.2106         2.8190         1.3497         0.0098        -1.7160         0.1649        -0.1082
         2.2107         2.7122         1.4892         0.0134        -1.5215         0.1664        -0.1383
         2.2107         2.6283         1.5930         0.0157        -1.4880         0.1756        -0.1540
         2.2121         0.3194         0.3177         0.0055        -0.3156         0.0406        -0.0387
         2.2128         1.5424         0.8932         0.0035         0.3471         0.0190        -0.0473
         2.2129         1.5900         0.7706         0.0088        -1.0774         0.1135        -0.0715
         2.2132         1.0770         0.4442         0.0016         0.4034        -0.0054        -0.0238
         2.2137         2.0498         1.2017         0.0089        -1.3621         0.1327        -0.0971
         2.2139         1.0104         0.4232         0.0010         0.2716         0.0029        -0.0179
         2.2141         2.8870         2.6249         0.0244        -2.1767         0.2410        -0.2465
         2.2146         2.5577         2.7931         0.0234        -1.9669         0.2184        -0.2457
         2.2148         0.2105         0.1113         0.0000         0.1253        -0.0015        -0.0015
         2.2153         0.9205         0.3326         0.0012         0.2876         0.0029        -0.0157
         2.2154         0.2812         0.0714         0.0001         0.0378         0.0040        -0.0001
         2.2158         1.1058         0.6018         0.0064        -0.7541         0.0839        -0.0565
         2.2163         0.9965         0.7078         0.0061        -0.7056         0.0758        -0.0621
         2.2199         2.5845         3.0339         0.0302        -2.2899         0.2604        -0.2936
         2.2203         2.6938         2.9697         0.0284        -2.3646         0.2548        -0.2854
         2.2341         2.3278         1.3898         0.0022         1.0517         0.0028        -0.0434
         2.2346         2.2975         1.3916         0.0026         1.0879        -0.0032        -0.0494
         2.2362         1.0464         0.8198         0.0004         0.5054         0.0028        -0.0142
         2.2375         0.9205         0.6555         0.0009         0.4662        -0.0068        -0.0223
         2.2387         1.1573         0.9838         0.0008         0.5402        -0.0040        -0.0256
         2.2392         0.8667         0.5780         0.0013         0.4198        -0.0111        -0.0260
         2.2392         0.7424         0.4565         0.0008         0.2985        -0.0095        -0.0193
         2.2397         2.3811         1.4634         0.0039         1.1238        -0.0029        -0.0619
         2.2401         0.8200         0.6045         0.0010         0.3259        -0.0109        -0.0243
         2.2405         0.7763         1.1055         0.0019         0.6788         0.0015        -0.0298
         2.2406         0.8034         1.0892         0.0023         0.6429         0.0026        -0.0346
         2.2407         1.8662         0.9405         0.0021         0.6905         0.0007        -0.0377
         2.2429         1.6064         1.5155         0.0074         1.0303        -0.0069        -0.0837
         2.2432         1.7030         1.6794         0.0065         1.0608        -0.0031        -0.0835
         2.2453         1.2536         1.5328         0.0022         1.0252        -0.0047        -0.0432
         2.2453         1.4949         1.3789         0.0062         1.0019        -0.0026        -0.0680
