 #  energy  x  y  z  sp  sm
         0.1540         1.0999         1.0995         1.0009         1.1006         1.0989
         0.1547         1.1000         1.0995         1.0009         1.1006         1.0989
         0.1553         1.1000         1.0996         1.0009         1.1006         1.0989
         0.1560         1.1000         1.0996         1.0009         1.1007         1.0989
         0.1567         1.1000         1.0996         1.0009         1.1007         1.0990
         0.1573         1.1001         1.0996         1.0009         1.1007         1.0990
         0.1580         1.1001         1.0997         1.0009         1.1007         1.0990
         0.1587         1.1001         1.0997         1.0009         1.1008         1.0990
         0.1593         1.1001         1.0997         1.0009         1.1008         1.0991
         0.1600         1.1002         1.0997         1.0009         1.1008         1.0991
         0.1607         1.1002         1.0998         1.0009         1.1008         1.0991
         0.1613         1.1002         1.0998         1.0009         1.1009         1.0991
         0.1620         1.1002         1.0998         1.0009         1.1009         1.0992
         0.1627         1.1003         1.0998         1.0009         1.1009         1.0992
         0.1633         1.1003         1.0999         1.0009         1.1009         1.0992
         0.1640         1.1003         1.0999         1.0009         1.1010         1.0992
         0.1647         1.1003         1.0999         1.0009         1.1010         1.0993
         0.1653         1.1004         1.0999         1.0009         1.1010         1.0993
         0.1660         1.1004         1.1000         1.0009         1.1010         1.0993
         0.1667         1.1004         1.1000         1.0009         1.1011         1.0993
         0.1673         1.1005         1.1000         1.0009         1.1011         1.0994
         0.1680         1.1005         1.1000         1.0009         1.1011         1.0994
         0.1687         1.1005         1.1001         1.0009         1.1011         1.0994
         0.1693         1.1005         1.1001         1.0009         1.1012         1.0994
         0.1700         1.1006         1.1001         1.0009         1.1012         1.0995
         0.1707         1.1006         1.1001         1.0009         1.1012         1.0995
         0.1713         1.1006         1.1001         1.0009         1.1012         1.0995
         0.1720         1.1006         1.1002         1.0009         1.1013         1.0995
         0.1727         1.1007         1.1002         1.0009         1.1013         1.0996
         0.1733         1.1007         1.1002         1.0009         1.1013         1.0996
         0.1740         1.1007         1.1002         1.0009         1.1013         1.0996
         0.1747         1.1007         1.1003         1.0009         1.1014         1.0996
         0.1753         1.1008         1.1003         1.0009         1.1014         1.0997
         0.1760         1.1008         1.1003         1.0009         1.1014         1.0997
         0.1767         1.1008         1.1003         1.0009         1.1014         1.0997
         0.1773         1.1008         1.1004         1.0009         1.1015         1.0997
         0.1780         1.1009         1.1004         1.0009         1.1015         1.0998
         0.1787         1.1009         1.1004         1.0009         1.1015         1.0998
         0.1793         1.1009         1.1004         1.0009         1.1015         1.0998
         0.1800         1.1009         1.1005         1.0009         1.1016         1.0998
         0.1807         1.1010         1.1005         1.0009         1.1016         1.0999
         0.1813         1.1010         1.1005         1.0009         1.1016         1.0999
         0.1820         1.1010         1.1005         1.0009         1.1016         1.0999
         0.1827         1.1010         1.1006         1.0009         1.1017         1.0999
         0.1833         1.1011         1.1006         1.0009         1.1017         1.1000
         0.1840         1.1011         1.1006         1.0009         1.1017         1.1000
         0.1847         1.1011         1.1006         1.0009         1.1018         1.1000
         0.1853         1.1011         1.1007         1.0009         1.1018         1.1000
         0.1860         1.1012         1.1007         1.0009         1.1018         1.1001
         0.1867         1.1012         1.1007         1.0009         1.1018         1.1001
         0.1873         1.1012         1.1007         1.0009         1.1019         1.1001
         0.1880         1.1013         1.1008         1.0009         1.1019         1.1001
         0.1887         1.1013         1.1008         1.0009         1.1019         1.1002
         0.1893         1.1013         1.1008         1.0009         1.1019         1.1002
         0.1900         1.1013         1.1008         1.0009         1.1020         1.1002
         0.1907         1.1014         1.1009         1.0009         1.1020         1.1002
         0.1913         1.1014         1.1009         1.0009         1.1020         1.1003
         0.1920         1.1014         1.1009         1.0009         1.1020         1.1003
         0.1927         1.1014         1.1009         1.0009         1.1021         1.1003
         0.1933         1.1015         1.1010         1.0009         1.1021         1.1003
         0.1940         1.1015         1.1010         1.0009         1.1021         1.1004
         0.1947         1.1015         1.1010         1.0009         1.1021         1.1004
         0.1953         1.1015         1.1010         1.0009         1.1022         1.1004
         0.1960         1.1016         1.1011         1.0009         1.1022         1.1004
         0.1967         1.1016         1.1011         1.0009         1.1022         1.1005
         0.1973         1.1016         1.1011         1.0009         1.1022         1.1005
         0.1980         1.1016         1.1011         1.0009         1.1023         1.1005
         0.1987         1.1017         1.1012         1.0009         1.1023         1.1005
         0.1993         1.1017         1.1012         1.0009         1.1023         1.1006
         0.2000         1.1017         1.1012         1.0009         1.1023         1.1006
         0.2007         1.1018         1.1012         1.0009         1.1024         1.1006
         0.2013         1.1018         1.1013         1.0009         1.1024         1.1006
         0.2020         1.1018         1.1013         1.0009         1.1024         1.1007
         0.2027         1.1018         1.1013         1.0009         1.1024         1.1007
         0.2033         1.1019         1.1013         1.0009         1.1025         1.1007
         0.2040         1.1019         1.1014         1.0009         1.1025         1.1007
         0.2047         1.1019         1.1014         1.0009         1.1025         1.1008
         0.2053         1.1019         1.1014         1.0009         1.1026         1.1008
         0.2060         1.1020         1.1014         1.0009         1.1026         1.1008
         0.2067         1.1020         1.1015         1.0009         1.1026         1.1008
         0.2073         1.1020         1.1015         1.0009         1.1026         1.1009
         0.2080         1.1020         1.1015         1.0009         1.1027         1.1009
         0.2087         1.1021         1.1015         1.0009         1.1027         1.1009
         0.2093         1.1021         1.1016         1.0009         1.1027         1.1010
         0.2100         1.1021         1.1016         1.0009         1.1027         1.1010
         0.2107         1.1021         1.1016         1.0009         1.1028         1.1010
         0.2113         1.1022         1.1016         1.0009         1.1028         1.1010
         0.2120         1.1022         1.1017         1.0009         1.1028         1.1011
         0.2127         1.1022         1.1017         1.0009         1.1028         1.1011
         0.2133         1.1023         1.1017         1.0009         1.1029         1.1011
         0.2140         1.1023         1.1017         1.0009         1.1029         1.1011
         0.2147         1.1023         1.1018         1.0009         1.1029         1.1012
         0.2153         1.1023         1.1018         1.0009         1.1029         1.1012
         0.2160         1.1024         1.1018         1.0009         1.1030         1.1012
         0.2167         1.1024         1.1018         1.0009         1.1030         1.1012
         0.2173         1.1024         1.1019         1.0009         1.1030         1.1013
         0.2180         1.1024         1.1019         1.0009         1.1031         1.1013
         0.2187         1.1025         1.1019         1.0009         1.1031         1.1013
         0.2193         1.1025         1.1019         1.0009         1.1031         1.1013
         0.2200         1.1025         1.1020         1.0009         1.1031         1.1014
         0.2207         1.1025         1.1020         1.0009         1.1032         1.1014
         0.2213         1.1026         1.1020         1.0009         1.1032         1.1014
         0.2220         1.1026         1.1020         1.0009         1.1032         1.1014
         0.2227         1.1026         1.1021         1.0009         1.1032         1.1015
         0.2233         1.1027         1.1021         1.0009         1.1033         1.1015
         0.2240         1.1027         1.1021         1.0009         1.1033         1.1015
         0.2247         1.1027         1.1022         1.0009         1.1033         1.1015
         0.2253         1.1027         1.1022         1.0009         1.1033         1.1016
         0.2260         1.1028         1.1022         1.0009         1.1034         1.1016
         0.2267         1.1028         1.1022         1.0009         1.1034         1.1016
         0.2273         1.1028         1.1023         1.0009         1.1034         1.1016
         0.2280         1.1028         1.1023         1.0009         1.1034         1.1017
         0.2287         1.1029         1.1023         1.0009         1.1035         1.1017
         0.2293         1.1029         1.1023         1.0009         1.1035         1.1017
         0.2300         1.1029         1.1024         1.0009         1.1035         1.1018
         0.2307         1.1030         1.1024         1.0009         1.1036         1.1018
         0.2313         1.1030         1.1024         1.0009         1.1036         1.1018
         0.2320         1.1030         1.1024         1.0009         1.1036         1.1018
         0.2327         1.1030         1.1025         1.0009         1.1036         1.1019
         0.2333         1.1031         1.1025         1.0009         1.1037         1.1019
         0.2340         1.1031         1.1025         1.0009         1.1037         1.1019
         0.2347         1.1031         1.1025         1.0009         1.1037         1.1019
         0.2353         1.1031         1.1026         1.0009         1.1037         1.1020
         0.2360         1.1032         1.1026         1.0009         1.1038         1.1020
         0.2367         1.1032         1.1026         1.0009         1.1038         1.1020
         0.2373         1.1032         1.1026         1.0009         1.1038         1.1020
         0.2380         1.1032         1.1027         1.0009         1.1038         1.1021
         0.2387         1.1033         1.1027         1.0009         1.1039         1.1021
         0.2393         1.1033         1.1027         1.0009         1.1039         1.1021
         0.2400         1.1033         1.1027         1.0009         1.1039         1.1021
         0.2407         1.1034         1.1028         1.0009         1.1040         1.1022
         0.2413         1.1034         1.1028         1.0009         1.1040         1.1022
         0.2420         1.1034         1.1028         1.0009         1.1040         1.1022
         0.2427         1.1034         1.1028         1.0009         1.1040         1.1023
         0.2433         1.1035         1.1029         1.0009         1.1041         1.1023
         0.2440         1.1035         1.1029         1.0009         1.1041         1.1023
         0.2447         1.1035         1.1029         1.0009         1.1041         1.1023
         0.2453         1.1035         1.1029         1.0009         1.1041         1.1024
         0.2460         1.1036         1.1030         1.0009         1.1042         1.1024
         0.2467         1.1036         1.1030         1.0009         1.1042         1.1024
         0.2473         1.1036         1.1030         1.0009         1.1042         1.1024
         0.2480         1.1037         1.1031         1.0009         1.1042         1.1025
         0.2487         1.1037         1.1031         1.0009         1.1043         1.1025
         0.2493         1.1037         1.1031         1.0009         1.1043         1.1025
         0.2500         1.1037         1.1031         1.0009         1.1043         1.1025
         0.2507         1.1038         1.1032         1.0009         1.1044         1.1026
         0.2513         1.1038         1.1032         1.0009         1.1044         1.1026
         0.2520         1.1038         1.1032         1.0009         1.1044         1.1026
         0.2527         1.1039         1.1032         1.0009         1.1044         1.1026
         0.2533         1.1039         1.1033         1.0009         1.1045         1.1027
         0.2540         1.1039         1.1033         1.0009         1.1045         1.1027
         0.2547         1.1039         1.1033         1.0009         1.1045         1.1027
         0.2553         1.1040         1.1033         1.0009         1.1045         1.1028
         0.2560         1.1040         1.1034         1.0009         1.1046         1.1028
         0.2567         1.1040         1.1034         1.0009         1.1046         1.1028
         0.2573         1.1040         1.1034         1.0009         1.1046         1.1028
         0.2580         1.1041         1.1034         1.0009         1.1047         1.1029
         0.2587         1.1041         1.1035         1.0009         1.1047         1.1029
         0.2593         1.1041         1.1035         1.0009         1.1047         1.1029
         0.2600         1.1042         1.1035         1.0009         1.1047         1.1029
         0.2607         1.1042         1.1035         1.0009         1.1048         1.1030
         0.2613         1.1042         1.1036         1.0009         1.1048         1.1030
         0.2620         1.1042         1.1036         1.0009         1.1048         1.1030
         0.2627         1.1043         1.1036         1.0009         1.1048         1.1030
         0.2633         1.1043         1.1037         1.0010         1.1049         1.1031
         0.2640         1.1043         1.1037         1.0010         1.1049         1.1031
         0.2647         1.1043         1.1037         1.0010         1.1049         1.1031
         0.2653         1.1044         1.1037         1.0010         1.1050         1.1032
         0.2660         1.1044         1.1038         1.0010         1.1050         1.1032
         0.2667         1.1044         1.1038         1.0010         1.1050         1.1032
         0.2673         1.1045         1.1038         1.0010         1.1050         1.1032
         0.2680         1.1045         1.1038         1.0010         1.1051         1.1033
         0.2687         1.1045         1.1039         1.0010         1.1051         1.1033
         0.2693         1.1045         1.1039         1.0010         1.1051         1.1033
         0.2700         1.1046         1.1039         1.0010         1.1051         1.1033
         0.2707         1.1046         1.1039         1.0010         1.1052         1.1034
         0.2713         1.1046         1.1040         1.0010         1.1052         1.1034
         0.2720         1.1047         1.1040         1.0010         1.1052         1.1034
         0.2727         1.1047         1.1040         1.0010         1.1053         1.1035
         0.2733         1.1047         1.1041         1.0010         1.1053         1.1035
         0.2740         1.1047         1.1041         1.0010         1.1053         1.1035
         0.2747         1.1048         1.1041         1.0010         1.1053         1.1035
         0.2753         1.1048         1.1041         1.0010         1.1054         1.1036
         0.2760         1.1048         1.1042         1.0010         1.1054         1.1036
         0.2767         1.1049         1.1042         1.0010         1.1054         1.1036
         0.2773         1.1049         1.1042         1.0010         1.1054         1.1036
         0.2780         1.1049         1.1042         1.0010         1.1055         1.1037
         0.2787         1.1049         1.1043         1.0010         1.1055         1.1037
         0.2793         1.1050         1.1043         1.0010         1.1055         1.1037
         0.2800         1.1050         1.1043         1.0010         1.1056         1.1037
         0.2807         1.1050         1.1043         1.0010         1.1056         1.1038
         0.2813         1.1050         1.1044         1.0010         1.1056         1.1038
         0.2820         1.1051         1.1044         1.0010         1.1056         1.1038
         0.2827         1.1051         1.1044         1.0010         1.1057         1.1039
         0.2833         1.1051         1.1045         1.0010         1.1057         1.1039
         0.2840         1.1052         1.1045         1.0010         1.1057         1.1039
         0.2847         1.1052         1.1045         1.0010         1.1058         1.1039
         0.2853         1.1052         1.1045         1.0010         1.1058         1.1040
         0.2860         1.1052         1.1046         1.0010         1.1058         1.1040
         0.2867         1.1053         1.1046         1.0010         1.1058         1.1040
         0.2873         1.1053         1.1046         1.0010         1.1059         1.1040
         0.2880         1.1053         1.1046         1.0010         1.1059         1.1041
         0.2887         1.1054         1.1047         1.0010         1.1059         1.1041
         0.2893         1.1054         1.1047         1.0010         1.1059         1.1041
         0.2900         1.1054         1.1047         1.0010         1.1060         1.1042
         0.2907         1.1054         1.1047         1.0010         1.1060         1.1042
         0.2913         1.1055         1.1048         1.0010         1.1060         1.1042
         0.2920         1.1055         1.1048         1.0010         1.1061         1.1042
         0.2927         1.1055         1.1048         1.0010         1.1061         1.1043
         0.2933         1.1056         1.1049         1.0010         1.1061         1.1043
         0.2940         1.1056         1.1049         1.0010         1.1061         1.1043
         0.2947         1.1056         1.1049         1.0010         1.1062         1.1043
         0.2953         1.1056         1.1049         1.0010         1.1062         1.1044
         0.2960         1.1057         1.1050         1.0010         1.1062         1.1044
         0.2967         1.1057         1.1050         1.0010         1.1063         1.1044
         0.2973         1.1057         1.1050         1.0010         1.1063         1.1045
