 #  energy  xx  yy  zz  xy  xz  yz
         0.0753         0.0000         0.0000         0.0000      1449.8411         0.0000       903.5837
         0.0760         0.0000         0.0000         0.0000      1462.8620         0.0000       911.6933
         0.0767         0.0000         0.0000         0.0000      1475.8863         0.0000       919.8049
         0.0773         0.0000         0.0000         0.0000      1488.9140         0.0000       927.9186
         0.0780         0.0000         0.0000         0.0000      1501.9452         0.0000       936.0343
         0.0787         0.0000         0.0000         0.0000      1514.9798         0.0000       944.1520
         0.0793         0.0000         0.0000         0.0000      1528.0179         0.0000       952.2718
         0.0800         0.0000         0.0000         0.0000      1541.0593         0.0000       960.3936
         0.0807         0.0000         0.0000         0.0000      1554.1042         0.0000       968.5174
         0.0813         0.0000         0.0000         0.0000      1567.1525         0.0000       976.6433
         0.0820         0.0000         0.0000         0.0000      1580.2043         0.0000       984.7712
         0.0827         0.0000         0.0000         0.0000      1593.2595         0.0000       992.9012
         0.0833         0.0000         0.0000         0.0000      1606.3181         0.0000      1001.0332
         0.0840         0.0000         0.0000         0.0000      1619.3802         0.0000      1009.1673
         0.0847         0.0000         0.0000         0.0000      1632.4457         0.0000      1017.3034
         0.0853         0.0000         0.0000         0.0000      1645.5147         0.0000      1025.4415
         0.0860         0.0000         0.0000         0.0000      1658.5870         0.0000      1033.5817
         0.0867         0.0000         0.0000         0.0000      1671.6629         0.0000      1041.7240
         0.0873         0.0000         0.0000         0.0000      1684.7422         0.0000      1049.8683
         0.0880         0.0000         0.0000         0.0000      1697.8250         0.0000      1058.0146
         0.0887         0.0000         0.0000         0.0000      1710.9112         0.0000      1066.1630
         0.0893         0.0000         0.0000         0.0000      1724.0009         0.0000      1074.3135
         0.0900         0.0000         0.0000         0.0000      1737.0941         0.0000      1082.4660
         0.0907         0.0000         0.0000         0.0000      1750.1907         0.0000      1090.6206
         0.0913         0.0000         0.0000         0.0000      1763.2907         0.0000      1098.7772
         0.0920         0.0000         0.0000         0.0000      1776.3943         0.0000      1106.9359
         0.0927         0.0000         0.0000         0.0000      1789.5012         0.0000      1115.0966
         0.0933         0.0000         0.0000         0.0000      1802.6117         0.0000      1123.2594
         0.0940         0.0000         0.0000         0.0000      1815.7256         0.0000      1131.4243
         0.0947         0.0000         0.0000         0.0000      1828.8430         0.0000      1139.5913
         0.0953         0.0000         0.0000         0.0000      1841.9640         0.0000      1147.7603
         0.0960         0.0000         0.0000         0.0000      1855.0883         0.0000      1155.9314
         0.0967         0.0000         0.0000         0.0000      1868.2162         0.0000      1164.1044
         0.0973         0.0000         0.0000         0.0000      1881.3475         0.0000      1172.2796
         0.0980         0.0000         0.0000         0.0000      1894.4823         0.0000      1180.4570
         0.0987         0.0000         0.0000         0.0000      1907.6207         0.0000      1188.6363
         0.0993         0.0000         0.0000         0.0000      1920.7625         0.0000      1196.8177
         0.1000         0.0000         0.0000         0.0000      1933.9077         0.0000      1205.0012
