 #  energy  xx  yy  zz  sp  sm
         2.2129         1.5900         0.7706         0.0088         1.4343         0.9263
         2.2132         1.0770         0.4442         0.0016         1.3225         0.1988
         2.2137         2.0498         1.2017         0.0089         2.4054         0.8460
         2.2139         1.0104         0.4232         0.0010         1.3117         0.1219
         2.2141         2.8870         2.6249         0.0244         1.0707         4.4412
         2.2146         2.5577         2.7931         0.0234         0.8657         4.4852
         2.2148         0.2105         0.1113         0.0000         0.0729         0.2488
         2.2153         0.9205         0.3326         0.0012         1.0992         0.1539
         2.2154         0.2812         0.0714         0.0001         0.0397         0.3129
         2.2158         1.1058         0.6018         0.0064         1.1649         0.5427
         2.2163         0.9965         0.7078         0.0061         1.3077         0.3966
         2.2199         2.5845         3.0339         0.0302         1.1975         4.4208
         2.2203         2.6938         2.9697         0.0284         1.2798         4.3837
         2.2341         2.3278         1.3898         0.0022         3.3179         0.3996
         2.2346         2.2975         1.3916         0.0026         3.2636         0.4255
         2.2362         1.0464         0.8198         0.0004         0.1570         1.7092
         2.2375         0.9205         0.6555         0.0009         0.1667         1.4093
         2.2387         1.1573         0.9838         0.0008         0.1504         1.9907
         2.2392         0.8667         0.5780         0.0013         0.1525         1.2922
         2.2392         0.7424         0.4565         0.0008         0.0996         1.0992
         2.2397         2.3811         1.4634         0.0039         3.4128         0.4318
         2.2401         0.8200         0.6045         0.0010         0.0882         1.3363
         2.2405         0.7763         1.1055         0.0019         1.5714         0.3104
         2.2406         0.8034         1.0892         0.0023         1.6258         0.2668
         2.2407         1.8662         0.9405         0.0021         2.5341         0.2727
         2.2429         1.6064         1.5155         0.0074         0.3892         2.7326
         2.2432         1.7030         1.6794         0.0065         0.3741         3.0083
         2.2453         1.2536         1.5328         0.0022         2.3262         0.4602
         2.2453         1.4949         1.3789         0.0062         0.4085         2.4652
         2.2455         2.0861         1.1651         0.0033         2.8787         0.3725
         2.2458         1.7307         1.7875         0.0059         0.3891         3.1290
         2.2461         0.7384         0.9919         0.0022         1.4682         0.2621
         2.2465         1.3666         0.5335         0.0017         1.6573         0.2428
         2.2469         1.8185         1.7786         0.0057         0.4747         3.1224
         2.2471         1.8710         1.9285         0.0062         0.4549         3.3446
         2.2517         1.7479         1.9162         0.0033         3.1905         0.4736
         2.2518         1.0314         1.2797         0.0026         1.9875         0.3236
         2.4116         0.1545         0.0450         0.0032         0.0184         0.1811
         2.4121         0.2134         0.0419         0.0013         0.2095         0.0458
         2.4130         0.1115         0.0347         0.0021         0.0133         0.1329
         2.4136         0.2124         0.0386         0.0011         0.1982         0.0528
         2.4145         0.2945         0.0513         0.0013         0.2859         0.0599
         2.4146         0.1843         0.0431         0.0035         0.0260         0.2014
         2.4178         0.2460         0.0347         0.0014         0.1000         0.1808
         2.4181         0.1216         0.0495         0.0026         0.0092         0.1619
         2.4182         0.1683         0.0292         0.0005         0.1560         0.0415
         2.4183         0.1722         0.0568         0.0007         0.2061         0.0229
         2.4189         0.0183         0.0082         0.0020         0.0030         0.0235
         2.4192         0.1583         0.0405         0.0022         0.0200         0.1788
